4 10 -2 2 700
0.37 0.54 0.58 0.61 0.00
0.17 0.31 0.41 0.58 0.00
0.89 0.95 0.28 0.70 0.00
0.12 0.25 0.50 0.50 0.00
0.03 0.07 0.50 0.41 0.00
0.51 0.70 0.41 0.77 0.00
0.80 0.88 0.50 0.58 0.00
0.14 0.27 0.50 0.49 0.00
0.24 0.40 0.50 0.53 0.00
0.22 0.38 0.50 0.52 0.00
0.18 0.32 0.50 0.51 0.00
0.03 0.07 0.50 0.41 0.00
0.02 0.04 0.50 0.37 0.00
0.01 0.02 0.50 0.37 0.00
0.22 0.38 0.50 0.52 0.00
0.19 0.34 0.58 0.57 0.00
0.32 0.49 0.31 0.65 0.00
0.35 0.52 0.50 0.54 0.00
0.08 0.18 0.50 0.46 0.00
0.12 0.25 0.50 0.50 0.00
0.06 0.15 0.50 0.45 0.00
0.40 0.56 0.40 0.62 0.00
0.54 0.69 0.53 0.73 0.00
0.70 0.85 1.00 0.69 0.00
0.43 0.62 0.22 0.70 0.00
0.14 0.27 0.50 0.49 0.00
0.28 0.45 0.50 0.53 0.00
1.00 1.00 0.51 0.60 0.00
0.02 0.04 0.50 0.37 0.00
0.08 0.18 0.50 0.46 0.00
0.01 0.02 0.50 0.37 0.00
0.41 0.58 0.50 0.55 0.00
0.14 0.27 0.50 0.49 0.00
0.38 0.55 0.50 0.55 0.00
0.14 0.27 0.50 0.49 0.00
0.38 0.56 0.56 0.74 0.00
0.08 0.18 0.50 0.46 0.00
0.00 0.00 0.50 0.37 0.00
0.09 0.20 0.50 0.47 0.00
0.18 0.32 0.50 0.51 0.00
0.80 0.89 0.69 0.70 0.00
0.18 0.32 0.50 0.51 0.00
0.00 0.00 0.50 0.37 0.00
0.19 0.35 0.50 0.51 0.00
0.52 0.71 0.46 0.78 0.00
0.06 0.15 0.50 0.45 0.00
0.18 0.32 0.50 0.51 0.00
0.41 0.58 0.50 0.55 0.00
0.68 0.79 0.56 0.62 0.00
0.62 0.75 0.47 0.60 0.00
0.00 0.00 0.50 0.37 0.00
0.65 0.80 0.23 0.69 0.00
0.33 0.50 0.50 0.54 0.00
0.01 0.02 0.50 0.37 0.00
0.91 0.96 0.32 0.69 0.00
0.69 0.84 0.94 0.69 0.00
0.12 0.25 0.50 0.50 0.00
0.99 0.99 0.54 0.62 0.00
0.19 0.35 0.50 0.51 0.00
0.03 0.07 0.50 0.41 0.00
0.38 0.55 0.50 0.55 0.00
0.14 0.27 0.50 0.49 0.00
0.49 0.64 0.44 0.60 0.00
0.44 0.61 0.50 0.55 0.00
0.51 0.69 0.21 0.68 0.00
0.06 0.15 0.50 0.45 0.00
0.59 0.73 0.50 0.57 0.00
0.12 0.25 0.50 0.50 0.00
0.79 0.86 0.48 0.65 0.00
0.45 0.63 0.24 0.68 0.00
0.01 0.02 0.50 0.37 0.00
0.16 0.30 0.50 0.50 0.00
0.32 0.49 0.71 0.65 0.00
0.28 0.45 0.50 0.53 0.00
0.29 0.46 0.36 0.62 0.00
0.06 0.15 0.50 0.45 0.00
0.49 0.64 0.44 0.60 0.00
0.72 0.85 0.53 0.79 0.00
0.86 0.91 0.42 0.64 0.00
0.12 0.25 0.50 0.50 0.00
0.59 0.73 0.50 0.57 0.00
0.65 0.82 0.12 0.70 0.00
0.18 0.32 0.50 0.51 0.00
0.05 0.13 0.50 0.45 0.00
0.04 0.09 0.50 0.43 0.00
0.41 0.58 0.50 0.55 0.00
0.05 0.13 0.50 0.45 0.00
0.17 0.31 0.59 0.62 0.00
0.09 0.20 0.50 0.47 0.00
0.01 0.02 0.50 0.37 0.00
0.11 0.22 0.50 0.48 0.00
0.19 0.35 0.50 0.51 0.00
0.18 0.32 0.50 0.51 0.00
0.03 0.07 0.50 0.41 0.00
0.49 0.65 0.50 0.55 0.00
0.06 0.15 0.50 0.45 0.00
0.04 0.09 0.50 0.43 0.00
0.59 0.73 0.50 0.57 0.00
0.62 0.74 0.55 0.62 0.00
0.11 0.22 0.50 0.48 0.00
0.72 0.82 0.48 0.72 0.00
0.74 0.85 0.51 0.78 0.00
0.35 0.52 0.50 0.54 0.00
0.44 0.61 0.50 0.55 0.00
0.60 0.74 0.72 0.67 0.00
0.56 0.70 0.50 0.56 0.00
0.77 0.88 0.63 0.78 0.00
0.60 0.76 0.27 0.68 0.00
0.48 0.65 0.32 0.66 0.00
0.02 0.04 0.50 0.37 0.00
0.01 0.02 0.50 0.37 0.00
0.56 0.70 0.50 0.56 0.00
0.73 0.86 0.23 0.74 0.00
0.04 0.09 0.50 0.43 0.00
0.04 0.09 0.50 0.43 0.00
0.75 0.86 0.31 0.76 0.00
0.12 0.25 0.47 0.53 0.00
0.09 0.20 0.50 0.47 0.00
0.37 0.55 0.32 0.65 0.00
0.05 0.13 0.50 0.45 0.00
0.84 0.91 0.50 0.57 0.00
0.26 0.43 0.50 0.53 0.00
0.11 0.22 0.50 0.48 0.00
0.87 0.92 0.54 0.62 0.00
0.16 0.30 0.50 0.50 0.00
0.59 0.73 0.50 0.57 0.00
0.06 0.15 0.50 0.45 0.00
0.05 0.13 0.50 0.45 0.00
0.02 0.04 0.50 0.37 0.00
0.30 0.48 0.50 0.53 0.00
0.26 0.43 0.50 0.53 0.00
0.38 0.55 0.50 0.55 0.00
0.06 0.15 0.50 0.45 0.00
0.45 0.63 0.80 0.67 0.00
0.11 0.22 0.50 0.48 0.00
0.59 0.75 0.24 0.68 0.00
0.56 0.70 0.50 0.56 0.00
0.54 0.70 0.32 0.67 0.00
0.50 0.66 0.74 0.67 0.00
0.14 0.27 0.56 0.55 0.00
0.56 0.71 0.46 0.76 0.00
0.05 0.13 0.50 0.45 0.00
0.06 0.15 0.50 0.45 0.00
0.62 0.75 0.50 0.57 0.00
0.21 0.36 0.40 0.60 0.00
0.14 0.27 0.50 0.49 0.00
0.60 0.75 0.25 0.68 0.00
0.19 0.35 0.50 0.51 0.00
0.41 0.58 0.50 0.55 0.00
0.05 0.13 0.50 0.45 0.00
0.21 0.36 0.50 0.62 0.00
0.86 0.91 0.42 0.64 0.00
0.44 0.61 0.50 0.55 0.00
0.16 0.30 0.50 0.50 0.00
0.62 0.75 0.36 0.66 0.00
0.50 0.68 0.52 0.78 0.00
0.79 0.87 0.54 0.76 0.00
0.92 0.95 0.50 0.58 0.00
0.08 0.18 0.50 0.46 0.00
